,protocol_id,nr,id,string,is_speech
0,17248,1,172481,Präsident Dr. Norbert Lammert:,True
1,17248,2,172482,"
Ich rufe nun also die Tagesordnungspunkte 1 a bis 1 c
sowie die gerade angekündigten Zusatzpunkte 1 und 2
auf:",False
2,17248,3,172483,"– Drucksache 17/14078 –
Überweisungsvorschlag:",False
3,17248,4,172484,"– Drucksache 17/14000 –
Überweisungsvorschlag:",False
4,17248,5,172485,"– Drucksache 17/13896 –
Überweisungsvorschlag:",False
5,17248,6,172486,"– Drucksache 17/14079 –
Überweisungsvorschlag:",False
6,17248,7,172487,"Dr. Angela Merkel, Bundeskanzlerin:",True
7,17248,8,172488,"ihre Häuser und Wohnungen verlassen. Der Höchststand
der Evakuierungen war am 10. Juni erreicht:",False
8,17248,9,172489,"in Gesprächen mit Betroffenen gewonnen habe, in Pas-
sau, in Pirna, in Greiz, in Bitterfeld, in Wittenberge, in
Lauenburg, in Hitzacker:",False
9,17248,10,1724810,Genau das tun wir:,False
10,17248,11,1724811,Wir erleben einmal mehr:,False
11,17248,12,1724812,"ihren Beitrag. Deshalb haben Bund und Länder über die
akute Bewältigung der Katastrophe hinaus weitere
Schritte unternommen:",False
12,17248,13,1724813,"
Erstens. Die Bundesregierung hat den Ländern sehr
früh ihre Unterstützung bei den Soforthilfen zugesagt:",False
13,17248,14,1724814,Noch etwas kommt hinzu:,False
14,17248,15,1724815,"wendigen Konsequenzen für die Zukunft ziehen. Dabei
ist zu differenzieren. Zum einen:",False
15,17248,16,1724816,"die Planungsverfahren zu kompliziert waren oder zu
lange gedauert haben? Zum anderen:",False
16,17248,17,1724817,Hierzu müssen alle ihren Beitrag leisten:,False
17,17248,18,1724818,"allein reicht nicht aus, um mit extremem Hochwasser
fertig zu werden, wie wir es jetzt ja erlebt haben. Ganz
banal:",False
18,17248,19,1724819,"(Jürgen Trittin [BÜNDNIS 90/DIE GRÜ-
NEN]:",False
19,17248,20,1724820,NIS 90/DIE GRÜNEN]:,False
20,17248,21,1724821,Präsident Dr. Norbert Lammert:,True
21,17248,22,1724822,"Malu Dreyer, Ministerpräsidentin (Rheinland-Pfalz):",True
22,17248,23,1724823,"len Jahren auf Bundesebene dafür ein, dass sich der
Bund auch bei der Prävention stärker engagiert:",False
23,17248,24,1724824,"Unterhaltungsmaßnahmen. Dabei verkennen wir nicht
die Zuständigkeiten der Länder für den Hochwasser-
schutz. Ich sage aber auch:",False
24,17248,25,1724825,"Auswirkungen auf die überörtliche Infrastruktur wie
Verkehrsachsen, auf Produktionen, die voneinander ab-
hängen, kurzum:",False
25,17248,26,1724826,"nen Pakt, der über Zusammenarbeit und Finanzierung im
Hochwasserfall hinausgeht, einen Pakt im eigentlichen
Wortsinne:",False
26,17248,27,1724827,"zu entwickeln, damit wir morgen oder übermorgen beim
nächsten Hochwasser sagen können:",False
27,17248,28,1724828,"niger schlimm gekommen, weil wir uns schon im Vor-
feld aus gesamtstaatlicher Solidarität besser vorbereitet
haben:",False
28,17248,29,1724829,"men, wird sich nie ganz verhindern lassen. Aus den Er-
fahrungen in meinem Land kann ich jedoch sagen:",False
29,17248,30,1724830,"Hochwasserschutz durch Deiche, Polder und auch durch
Überflutungsflächen. Im Vordergrund steht nicht zuletzt
die Erkenntnis:",False
30,17248,31,1724831,"ten Antrag skizziert. Es geht um folgende Bausteine in
einem abgestimmten Gesamtkonzept:",False
31,17248,32,1724832,Ich sage ausdrücklich noch einmal:,False
32,17248,33,1724833,"alle vom Hochwasserschutz überzeugt. Wenn man aller-
dings zwei, drei oder vier Jahre später Deiche baut oder
rückverlegt und sagt:",False
33,17248,34,1724834,Präsident Dr. Norbert Lammert:,True
34,17248,35,1724835,Patrick Döring (FDP):,True
35,17248,36,1724836,"Menschen haben ihr Hab und Gut und manchmal auch
Angehörige verloren. Wir haben aber auch gesehen:",False
36,17248,37,1724837,"Menschen packen an. Sie verzagen nicht. Wir sehen die-
sen Zusammenhalt und das Miteinander. Das ist vorbild-
lich, macht Mut und zeigt:",False
37,17248,38,1724838,"haushalterisch vernünftigen Weg. Das zeigt, dass sich
Konsolidierung und gutes Wirtschaften auszahlen. Frei
nach Gerhard Schröder:",False
